Timestamp,Differance,Node ID,Message,"00000NaN"
1651527897078, ,904,f74cc88c00293a40,"1111011101001100110010001000110000000000001010010011100000000000"
1651527897078, ,952,8000000000000000,"1000000000000000000000000000000000000000000000000000000000000000"
1651527897085, ,1096,0000ff0000000000,"111111110000000000000000000000000000000000000000"
1651527897091, ,136,ff08071819010000,"1111111100001000000001110001100000011001000000010000000000000000"
1651527897098, ,616,eb38000004021802,"1110101100111000000000000000000000000100000000100001100000000000"
1651527897102, ,680,c000000822e80000,"1100000000000000000000000000100000100010111010000000000000000000"
1651527897109, ,712,cb00000000007f7f,"1100101100000000000000000000000000000000000000001000000000000000"
1651527897112, ,552,10a500c100293a40,"1000010100101000000001100000100000000001010010011101000000000"
1651527897117, ,104,fc00102f1d438000,"1111110000000000000100000010111100011101010000111000000000000000"
1651527897120, ,424,002834782c680000,"101000001101000111100000101100011010000000000000000000"
1651527897123, ,296,c000000000003f3f,"1100000000000000000000000000000000000000000000000100000000000000"
1651527897126, ,989,cc60062712003a1d,"1100110001100000000001100010011100010010000000000011100000000000"
1651527897130, ,456,80010f483f012015,"1000000000000001000011110100100000111111000000010010000000000000"
1651527897134, ,776,f000004a0005111b,"1111000000000000000000000100101000000000000001010001000000000000"
1651527897148, ,136,ff0a071839010000,"1111111100001010000001110001100000111001000000010000000000000000"
1651527897157, ,72,ff80308f3a6ba406,"1111111110000000001100001000111100111010011010111010100000000000"
1651527897167, ,520,c0020fa0830838b2,"1100000000000010000011111010000010000011000010000011100000000000"
1651527897171, ,40,7e80140000800000,"111111010000000000101000000000000000000100000000000000000000000"
1651527897177, ,264,df64631100000000,"1101111101100100011000110001000100000000000000000000000000000000"
1651527897185, ,360,980a00656c008431,"1001100000001010000000000110010101101100000000001000100000000000"
1651527897189, ,392,3964644a293a4000,"11100101100100011001000100101000101001001110100100000000000000"
1651527897192, ,472,52000000bec5f335,"101001000000000000000000000000010111110110001011111010000000000"
1651527897195, ,488,2000000000000000,"10000000000000000000000000000000000000000000000000000000000000"
1651527897199, ,136,ff0b071849010000,"1111111100001011000001110001100001001001000000010000000000000000"
1651527897203, ,840,7850078042380000,"111100001010000000001111000000001000010001110000000000000000000"
1651527897206, ,904,d74cc88c00293a40,"1101011101001100110010001000110000000000001010010011100000000000"
1651527897209, ,956,0380508038000000,"1110000000010100001000000000111000000000000000000000000000"
1651527897211, ,968,c038272000000000,"1100000000111000001001110010000000000000000000000000000000000000"
1651527897214, ,1024,0f02000100000000,"111100000010000000000000000100000000000000000000000000000000"
1651527897217, ,1025,0352383736353002,"1101010010001110000011011100110110001101010011000000000000"
1651527897219, ,1026,0f02000100000000,"111100000010000000000000000100000000000000000000000000000000"
1651527897222, ,552,10a500c100293a40,"1000010100101000000001100000100000000001010010011101000000000"
1651527897225, ,1028,0000000000000000,"00000000"
1651527897234, ,424,002834782c680000,"101000001101000111100000101100011010000000000000000000"
1651527897237, ,584,0080ea42be4bdf00,"10000000111010100100001010111110010010111101111100000000"
1651527897239, ,616,eb38000004021802,"1110101100111000000000000000000000000100000000100001100000000000"
1651527897241, ,1029,0000000000000000,"00000000"
1651527897243, ,744,9800000461293a40,"1001100000000000000000000000010001100001001010010011100000000000"
1651527897248, ,104,fc00102f1d438000,"1111110000000000000100000010111100011101010000111000000000000000"
1651527897250, ,136,ff0c071859010000,"1111111100001100000001110001100001011001000000010000000000000000"
1651527897253, ,872,fdc0000800000000,"1111110111000000000000000000100000000000000000000000000000000000"
1651527897258, ,776,f000004a0005111b,"1111000000000000000000000100101000000000000001010001000000000000"
1651527897262, ,712,cb00000000007f7f,"1100101100000000000000000000000000000000000000001000000000000000"
1651527897274, ,1284,0502000104000000,"10100000010000000000000000100000100000000000000000000000000"
1651527897277, ,952,8000000000000000,"1000000000000000000000000000000000000000000000000000000000000000"
1651527897280, ,1096,0000ff0000000000,"111111110000000000000000000000000000000000000000"
1651527897283, ,456,80010f483f012015,"1000000000000001000011110100100000111111000000010010000000000000"
1651527897285, ,136,ff0e071879010000,"1111111100001110000001110001100001111001000000010000000000000000"
1651527897288, ,40,7e80140000800000,"111111010000000000101000000000000000000100000000000000000000000"
1651527897292, ,264,df64631100000000,"1101111101100100011000110001000100000000000000000000000000000000"
1651527897293, ,360,b88a00656c008431,"1011100010001010000000000110010101101100000000001000100000000000"
1651527897295, ,72,fe00308f3a6ba406,"1111111000000000001100001000111100111010011010111010100000000000"
1651527897297, ,296,c000000000003f3f,"1100000000000000000000000000000000000000000000000100000000000000"
1651527897300, ,472,92000000bec5f336,"1001001000000000000000000000000010111110110001011111000000000000"
1651527897301, ,488,2000000000000000,"10000000000000000000000000000000000000000000000000000000000000"
1651527897303, ,424,002834782c680000,"101000001101000111100000101100011010000000000000000000"
1651527897305, ,520,c0020fa0830838b2,"1100000000000010000011111010000010000011000010000011100000000000"
1651527897308, ,552,10a500c100293a40,"1000010100101000000001100000100000000001010010011101000000000"
1651527897311, ,648,f000000000910091,"1111000000000000000000000000000000000000100100010000000000000000"
1651527897314, ,904,f74cc88c00293a40,"1111011101001100110010001000110000000000001010010011100000000000"
1651527897322, ,956,0380508038000000,"1110000000010100001000000000111000000000000000000000000000"
1651527897325, ,1160,8006000000000000,"1000000000000110000000000000000000000000000000000000000000000000"
1651527897327, ,136,ff0f071889010000,"1111111100001111000001110001100010001001000000010000000000000000"
1651527897330, ,616,eb38000004021802,"1110101100111000000000000000000000000100000000100001100000000000"
1651527897332, ,680,c000000822e80000,"1100000000000000000000000000100000100010111010000000000000000000"
1651527897341, ,104,fc00102f1d438000,"1111110000000000000100000010111100011101010000111000000000000000"
1651527897343, ,584,0080ea42be4bdf00,"10000000111010100100001010111110010010111101111100000000"
1651527897347, ,989,cc60062712003a1d,"1100110001100000000001100010011100010010000000000011100000000000"
1651527897356, ,776,f000004a0005111b,"1111000000000000000000000100101000000000000001010001000000000000"
1651527897358, ,808,e0000000005c0000,"1110000000000000000000000000000000000000010111000000000000000000"
1651527897365, ,136,ff10071899010000,"1111111100010000000001110001100010011001000000010000000000000000"
1651527897373, ,712,c300000000007f7f,"1100001100000000000000000000000000000000000000001000000000000000"
1651527897376, ,552,10a500c100293a40,"1000010100101000000001100000100000000001010010011101000000000"
1651527897380, ,424,002834782c680000,"101000001101000111100000101100011010000000000000000000"
1651527897384, ,40,7e80140000800000,"111111010000000000101000000000000000000100000000000000000000000"
1651527897388, ,264,df64631800000000,"1101111101100100011000110001100000000000000000000000000000000000"
1651527897392, ,360,980a00656c008431,"1001100000001010000000000110010101101100000000001000100000000000"
1651527897394, ,392,3964644a293a4000,"11100101100100011001000100101000101001001110100100000000000000"
1651527897397, ,472,52000000bec5f337,"101001000000000000000000000000010111110110001011111010000000000"
1651527897400, ,488,2000000000000000,"10000000000000000000000000000000000000000000000000000000000000"
1651527897402, ,744,9800000461293a40,"1001100000000000000000000000010001100001001010010011100000000000"
1651527897405, ,840,7850078042380000,"111100001010000000001111000000001000010001110000000000000000000"
1651527897409, ,872,fd80000800000000,"1111110110000000000000000000100000000000000000000000000000000000"
1651527897413, ,904,d74cc88c00293a40,"1101011101001100110010001000110000000000001010010011100000000000"
1651527897415, ,136,ff120718b9010000,"1111111100010010000001110001100010111001000000010000000000000000"
1651527897419, ,968,c038272000000000,"1100000000111000001001110010000000000000000000000000000000000000"
1651527897424, ,520,c0020fa0830838b2,"1100000000000010000011111010000010000011000010000011100000000000"
1651527897427, ,456,80010f483f012015,"1000000000000001000011110100100000111111000000010010000000000000"
1651527897432, ,72,fe00308f3a6ba406,"1111111000000000001100001000111100111010011010111010100000000000"
1651527897441, ,616,eb38000004021802,"1110101100111000000000000000000000000100000000100001100000000000"
1651527897453, ,104,fc00102f1d438000,"1111110000000000000100000010111100011101010000111000000000000000"
1651527897457, ,136,ff130718c9010000,"1111111100010011000001110001100011001001000000010000000000000000"
1651527897460, ,296,c000000000003f3f,"1100000000000000000000000000000000000000000000000100000000000000"
1651527897465, ,956,0380508038000000,"1110000000010100001000000000111000000000000000000000000000"
1651527897471, ,776,f000004a0005111b,"1111000000000000000000000100101000000000000001010001000000000000"
1651527897474, ,552,10a500c100293a40,"1000010100101000000001100000100000000001010010011101000000000"
1651527897477, ,952,8000000000000000,"1000000000000000000000000000000000000000000000000000000000000000"
1651527897479, ,1096,0000ff0000000000,"111111110000000000000000000000000000000000000000"
1651527897482, ,424,002834782c680000,"101000001101000111100000101100011010000000000000000000"
1651527897487, ,584,0080ea42be4bdf00,"10000000111010100100001010111110010010111101111100000000"
1651527897501, ,40,7e80140000800000,"111111010000000000101000000000000000000100000000000000000000000"
1651527897506, ,264,df64631800000000,"1101111101100100011000110001100000000000000000000000000000000000"
1651527897509, ,136,ff140718d9010000,"1111111100010100000001110001100011011001000000010000000000000000"
1651527897512, ,360,b88a00656c008431,"1011100010001010000000000110010101101100000000001000100000000000"
1651527897515, ,472,d2000000bec5f337,"1101001000000000000000000000000010111110110001011111000000000000"
1651527897518, ,904,f74cc88c00293a40,"1111011101001100110010001000110000000000001010010011100000000000"
1651527897520, ,1285,0802000105000000,"100000000010000000000000000100000101000000000000000000000000"
1651527897528, ,488,2000000000000000,"10000000000000000000000000000000000000000000000000000000000000"
1651527897530, ,712,cb00000000007f7f,"1100101100000000000000000000000000000000000000001000000000000000"
1651527897545, ,520,c0020fa0830838b2,"1100000000000010000011111010000010000011000010000011100000000000"
1651527897550, ,136,ff07071809010000,"1111111100000111000001110001100000001001000000010000000000000000"
1651527897554, ,616,eb38000004021802,"1110101100111000000000000000000000000100000000100001100000000000"
1651527897556, ,680,c000000822e80000,"1100000000000000000000000000100000100010111010000000000000000000"
1651527897561, ,72,fe00308f3a6ba406,"1111111000000000001100001000111100111010011010111010100000000000"
1651527897564, ,552,10a500c100293a40,"1000010100101000000001100000100000000001010010011101000000000"
1651527897569, ,104,fc00102f1d438000,"1111110000000000000100000010111100011101010000111000000000000000"
1651527897574, ,424,002834782c680000,"101000001101000111100000101100011010000000000000000000"
